"AGEEC","wage","over_60","partnered","living_alone","Have_dep","Home_owner","HECSDebt","young_child","partner_earnings","Numb_dep","Rent","Main_carer_dep","PPeligible","child_ages","hours","TotalGovtPay_Stated","DispInc_Stated","EmployeeInc_Stated","AgedPen_Stated","FTB_Stated","PP_Stated","CRA_Stated","JSP_Stated","JSP_SIH_Modelled","FTB_SIH_Modelled","PP_SIH_Modelled","AgedPen_SIH_Modelled","CRA_SIH_Modelled","net_income","income_tax","work_income","JSP","PP_Pay","RA","ES","taxable_benefit","gross_income","gross_fam_income","net_fam_a_income","net_fam_b_income","HECS_payment"
36,0,0,0,0,1,0,0,1,0,2,390,1,1,"1,14",0,791.52,791.52,0,0,290,409.05,80.57,0,0,329.91,390.15,0,80.57,831.83875,0,0,0,376.15,80.35875,4.75,376.15,376.15,376.15,227.71,142.87,0
60,49.4736842105263,1,1,0,0,1,0,NA,1918,0,NA,0,0,"",38,0,2309.91,1880,0,0,0,0,0,0,0,0,0,0,1424.84230769231,455.157692307692,1880,0,0,0,0,0,1880,1916.88461538462,0,0,0
59,50.4736842105263,0,1,0,0,1,0,NA,2969.5,0,NA,0,0,"",38,0,1557.9,1918,0,0,0,0,0,0,0,0,0,0,1448.78230769231,469.217692307692,1918,0,0,0,0,0,1918,1975.10576923077,0,0,0
26,24,0,0,1,0,0,30000,NA,0,0,0,0,0,"",25,0,559.64,600,0,0,0,0,0,0,0,0,0,0,565.961538461538,34.0384615384615,600,0,0,0,0,0,600,600,0,0,0
64,30.84,1,0,1,0,1,0,NA,0,0,NA,0,0,"",50,0,1225.6,1542,0,0,0,0,0,0,0,0,0,0,1203.40769230769,338.592307692308,1542,0,0,0,0,0,1542,1542,0,0,0
22,38.8333333333333,0,0,1,0,0,5000,NA,0,0,450,0,0,"",6,0,367,233,0,0,0,0,0,0,0,0,0,0,492.29875,0,233,186.3,0,68.59875,4.4,186.3,419.3,419.3,0,0,0
23,22.3076923076923,0,0,1,0,0,39638,NA,0,0,450,0,0,"",13,0,511,290,0,0,0,0,0,0,0,0,0,0,515.09875,0,290,152.1,0,68.59875,4.4,152.1,442.1,442.1,0,0,0
30,37.7833333333333,0,1,0,0,1,7500,NA,1442,0,NA,0,0,"",60,0,1503.94,2267,0,0,0,0,0,0,0,0,0,0,1524.42153846154,598.347692307692,2267,0,0,0,0,0,2267,2294.73076923077,0,0,144.230769230769
29,48.0666666666667,0,1,0,0,1,0,NA,1981,0,NA,0,0,"",30,0,1150.63,1442,0,0,0,0,0,0,0,0,0,0,1135.90769230769,306.092307692308,1442,0,0,0,0,0,1442,1480.09615384615,0,0,0
48,20,0,1,0,0,1,0,NA,-1.13686837721616e-13,0,NA,0,0,"",30,0,559.64,600,0,0,0,0,0,0,0,0,0,0,565.961538461538,34.0384615384615,600,0,0,0,0,0,600,600,0,1.30739863379858e-14,0
65,12.9636363636364,1,1,0,0,1,0,NA,788,0,NA,0,0,"",55,0,1041.62,713,0,0,0,0,0,0,0,0,0,0,657.294230769231,55.7057692307692,713,0,0,0,0,0,713,728.153846153846,0,0,0
17,0,0,0,1,0,0,0,NA,0,0,0,0,0,"",0,244,244,0,0,0,0,0,0,0,0,0,0,0,282.25,0,0,277.85,0,0,4.4,277.85,277.85,277.85,0,0,0
24,0,0,0,0,1,0,0,5,0,2,0,1,1,"5,6",0,472.9,480.9,0,0,77,384,0,0,0,278.04,390.15,0,0,696.32,0,0,0,376.15,0,4.75,376.15,376.15,376.15,197.96,117.46,0
33,38.35,0,1,0,0,0,0,NA,1803,0,780,0,0,"",40,0,1268.99,1534,0,0,0,0,0,0,0,0,0,0,1198.00769230769,335.992307692308,1534,0,0,0,0,0,1534,1568.67307692308,0,0,0
42,45.075,0,1,0,0,0,0,NA,1553,0,780,0,0,"",40,0,1449.8,1803,0,0,0,0,0,0,0,0,0,0,1376.33230769231,426.667692307692,1803,0,0,0,0,0,1803,1832.86538461538,0,0,0
52,33.6,0,1,0,0,1,0,NA,1021,0,NA,0,0,"",30,0,971.11,1008,0,0,0,0,0,0,0,0,0,0,842.957692307692,165.042307692308,1008,0,0,0,0,0,1008,1027.63461538462,0,0,0
